"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8721","deleteActiveVisitShouldRemoveItSuccessfully()","","2026-06-04","passed","2026-06-04","","ui.StartVisitTest","ui.StartVisitTest","deleteActiveVisitShouldRemoveItSuccessfully"
"","5551","knownPatientCanBeRegisteredWithMandatoryValidDataTest()","","2026-06-04","passed","2026-06-04","","ui.RegisterPatientTest","ui.RegisterPatientTest","knownPatientCanBeRegisteredWithMandatoryValidDataTest"
"","4201","shouldDisplayNoUpcomingAppointmentsMessage()","","2026-06-04","passed","2026-06-04","","ui.StartVisitTest","ui.StartVisitTest","shouldDisplayNoUpcomingAppointmentsMessage"
"","2166","adminCanSetClinicMemorisedTest()","","2026-06-04","passed","2026-06-04","","ui.LoginTest","ui.LoginTest","adminCanSetClinicMemorisedTest"
"","641","firstPageNoUserNameLoginTest()","","2026-06-04","passed","2026-06-04","","ui.LoginTest","ui.LoginTest","firstPageNoUserNameLoginTest"
"","2484","searchPanelActivateAndCloseTest()","","2026-06-04","passed","2026-06-04","","ui.SearchPatientTest","ui.SearchPatientTest","searchPanelActivateAndCloseTest"
"","4225","searchPanelActivateEnterSearchStringAndCloseTest()","","2026-06-04","passed","2026-06-04","","ui.SearchPatientTest","ui.SearchPatientTest","searchPanelActivateEnterSearchStringAndCloseTest"
"","6540","startVisitAndClickCancelShouldKeepModalOpen()","","2026-06-04","passed","2026-06-04","","ui.StartVisitTest","ui.StartVisitTest","startVisitAndClickCancelShouldKeepModalOpen"
"","4470","startVisitWithoutVisitTypeShouldShowError()","","2026-06-04","passed","2026-06-04","","ui.StartVisitTest","ui.StartVisitTest","startVisitWithoutVisitTypeShouldShowError"
"","5171","startVisit()","","2026-06-04","passed","2026-06-04","","ui.StartVisitTest","ui.StartVisitTest","startVisit"
"","5730","searchDropdownShouldShowCorrectResultsTest()","","2026-06-04","passed","2026-06-04","","ui.SearchPatientTest","ui.SearchPatientTest","searchDropdownShouldShowCorrectResultsTest"
"","13323","searchPatientClickSearchButtonTest()","","2026-06-04","passed","2026-06-04","","ui.SearchPatientTest","ui.SearchPatientTest","searchPatientClickSearchButtonTest"
"","16084","endVisit()","","2026-06-04","failed","2026-06-04","","ui.StartVisitTest","ui.StartVisitTest","endVisit"
"","5550","wrongAdminPasswordLoginTest(AdminLogin)","","2026-06-04","failed","2026-06-04","","ui.LoginTest","ui.LoginTest","wrongAdminPasswordLoginTest"
"","7470","searchDropDownShouldShowDefaultMessagesTest()","","2026-06-04","failed","2026-06-04","","ui.SearchPatientTest","ui.SearchPatientTest","searchDropDownShouldShowDefaultMessagesTest"
"","5710","adminCanLoginTest(AdminLogin)","","2026-06-04","failed","2026-06-04","","ui.LoginTest","ui.LoginTest","adminCanLoginTest"
"","6751","searchPatientClickEnterTest()","","2026-06-04","passed","2026-06-04","","ui.SearchPatientTest","ui.SearchPatientTest","searchPatientClickEnterTest"
"","7769","knownPatientCanBeRegisteredWithAllValidDataTest()","","2026-06-04","passed","2026-06-04","","ui.RegisterPatientTest","ui.RegisterPatientTest","knownPatientCanBeRegisteredWithAllValidDataTest"
"","0","unknownPatientCanBeRegisteredWithValidDataTest()","","2026-06-04","skipped","2026-06-04","","ui.RegisterPatientTest","ui.RegisterPatientTest","unknownPatientCanBeRegisteredWithValidDataTest"
"","10285","searchInputFieldPopulatedWithTextAndThenClearedTest()","","2026-06-04","failed","2026-06-04","","ui.SearchPatientTest","ui.SearchPatientTest","searchInputFieldPopulatedWithTextAndThenClearedTest"
"","1419","adminCanLoginClinicMemorisedTest(AdminLogin)","","2026-06-04","passed","2026-06-04","","ui.LoginTest","ui.LoginTest","adminCanLoginClinicMemorisedTest"
"","5658","startVisitAndDiscardShouldNotCreateActiveVisit()","","2026-06-04","passed","2026-06-04","","ui.StartVisitTest","ui.StartVisitTest","startVisitAndDiscardShouldNotCreateActiveVisit"
